Locus.Tag,Gene.Name,Protein.Code,Protein.Product
NCAV_0198,NCAV_0198,A0A2K5AP25,Uncharacterized protein
NCAV_0852,rpoE,A0A2K5AQW9,DNA-directed RNA polymerase subunit E (EC 2.7.7.6)
NCAV_0133,NCAV_0133,A0A2K5ANW9,Uncharacterized protein
NCAV_1526,nadE,A0A2K5ASS9,NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5)
NCAV_0554,NCAV_0554,A0A2K5AQ54,Thioredoxin 1 (Modular protein)
NCAV_0693,NCAV_0693,A0A2K5AQI8,Uncharacterized protein
NCAV_0130,NCAV_0130,A0A2K5ANV7,PhoU family transcriptional regulator
NCAV_1733,NCAV_1733,A0A2K5ATB9,Alpha/beta hydrolase fold protein
NCAV_1282,NCAV_1282,A0A2K5AS59,Uncharacterized protein
NCAV_0506,NCAV_0506,A0A2K5AQ21,Geranylgeranyl reductase family protein
NCAV_0512,NCAV_0512,A0A2K5AQ06,UPF0033 domain-containing protein
NCAV_1423,yvqK,A0A2K5ASK2,"Cob(I)yrinic acid a,c-diamide adenosyltransferase (EC 2.5.1.17)"
NCAV_0319,NCAV_0319,A0A2K5APE5,UPF0284 protein NCAV_0319
NCAV_0458,NCAV_0458,A0A2K5APT4,Uncharacterized protein
NCAV_0398,lig,A0A2K5APM2,DNA ligase (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP])
NCAV_0840,purK,A0A2K5AQT3,N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)
NCAV_0886,NCAV_0886,A0A2K5AQY4,Uncharacterized protein
NCAV_0502,NCAV_0502,A0A2K5APZ2,Uncharacterized protein
NCAV_0424,NCAV_0424,A0A2K5APN6,Permease
NCAV_1443,NCAV_1443,A0A2K5ASM2,Uncharacterized protein
NCAV_0853,spt,A0A2K5AQV7,Transcription elongation factor Spt4
NCAV_0227,sufS,A0A2K5AP51,"Selenocysteine lyase, PLP-dependent (EC 4.4.1.16)"
NCAV_0449,NCAV_0449,A0A2K5APS1,Inositol-1-monophosphatase (EC 3.1.3.25)
NCAV_0684,NCAV_0684,A0A2K5AQG2,L-fuculose phosphate aldolase (EC 4.1.2.17) (L-fuculose-1-phosphate aldolase)
NCAV_1473,NCAV_1473,A0A2K5ASP9,Uncharacterized protein
NCAV_0218,hemA,A0A2K5AP49,Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)
NCAV_0906,NCAV_0906,A0A2K5AR08,Uncharacterized protein
NCAV_0403,NCAV_0403,A0A2K5APQ9,"Putative transcriptional regulator, ArsR family"
NCAV_1109,NCAV_1109,A0A2K5ARK5,Major facilitator superfamily transporter MFS_1
NCAV_1804,NCAV_1804,A0A2K5ATK1,Uncharacterized protein
NCAV_1530,NCAV_1530,A0A2K5ASS0,Alpha/beta hydrolase
NCAV_1006,NCAV_1006,A0A2K5ARA8,Uncharacterized protein
NCAV_1546,NCAV_1546,A0A2K5ASV0,Uncharacterized protein
NCAV_1366,flaI,A0A2K5ASB7,Archaeal flagella protein FlaI
NCAV_0809,NCAV_0809,A0A2K5AQQ1,Uncharacterized protein
NCAV_1636,NCAV_1636,A0A2K5AT54,Putative PilT domain protein
NCAV_0438,NCAV_0438,A0A2K5APR5,C2H2 Zn finger protein
NCAV_1619,NCAV_1619,A0A2K5AT14,Uncharacterized protein
NCAV_0972,NCAV_0972,A0A2K5ARC4,Putative 5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)
NCAV_1493,rpl30e,A0A2K5ASR4,50S ribosomal protein L30e
NCAV_1379,NCAV_1379,A0A2K5ASD1,Uncharacterized protein
NCAV_0882,NCAV_0882,A0A2K5AR36,Putative radical SAM domain protein
NCAV_0142,NCAV_0142,A0A2K5ANX8,Transcriptional regulator
NCAV_0964,NCAV_0964,A0A2K5AR58,Luciferase-like monooxygenase family protein
NCAV_1021,NCAV_1021,A0A2K5ARB9,Uncharacterized protein
NCAV_0551,NCAV_0551,A0A2K5AQ40,Uncharacterized protein
NCAV_1667,NCAV_1667,A0A2K5AT55,Uncharacterized protein
NCAV_1463,pheS,A0A2K5ASP1,Phenylalanine--tRNA ligase (EC 6.1.1.20)
NCAV_1232,NCAV_1232,A0A2K5AS05,Uncharacterized protein
NCAV_1053,NCAV_1053,A0A2K5ARE5,Putative Site-specific DNA-methyltransferase (Adenine-specific) (EC 2.1.1.72)
NCAV_1483,NCAV_1483,A0A2K5ASQ4,Uncharacterized protein
NCAV_1255,NCAV_1255,A0A2K5AS03,LysC-like protein
NCAV_1551,NCAV_1551,A0A2K5ASU5,Uncharacterized protein
NCAV_0532,NCAV_0532,A0A2K5AQ26,Phosphate transport regulator
NCAV_0389,aroB,A0A2K5APL8,3-dehydroquinate synthase (EC 1.4.1.24)
NCAV_1163,NCAV_1163,A0A2K5ARQ0,Uncharacterized protein
NCAV_0919,NCAV_0919,A0A2K5AR18,Putative THUMP domain protein
NCAV_0353,NCAV_0353,A0A2K5APK6,Putative nucleotide binding protein
NCAV_1149,NCAV_1149,A0A2K5ARV0,Transporter
NCAV_0663,NCAV_0663,A0A2K5AQB9,Uncharacterized protein
NCAV_1262,NCAV_1262,A0A2K5AS40,TrmB domain-containing protein
NCAV_0315,rps13p,A0A2K5APH2,30S ribosomal protein S13
NCAV_0944,rps30e,A0A2K5AR40,30S ribosomal protein S30e
NCAV_0273,NCAV_0273,A0A2K5APB4,"Proton-translocating NADH-quinone oxidoreductase, chain M (EC 1.6.5.11)"
NCAV_1211,NCAV_1211,A0A2K5ARU4,Aldo/keto reductase
NCAV_0297,NCAV_0297,A0A2K5APB8,N-alpha-acetyltransferase (EC 2.3.1.255) (EC 2.3.1.258)
